jd_id,category,jd_text
JD_00001,Business Analyst,"Role: Business Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Business Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- SQL, Scrum, Agile, Excel, Confluence
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00002,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Bash, Terraform, Chef, Git, Kubernetes
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00003,Data Scientist,"Role: Data Scientist
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Scientist, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- R, SAS, PyTorch, Scikit-Learn, Tableau, Anaconda
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00004,AI Engineer,"Role: AI Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a AI Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- JavaScript, SQL, LlamaIndex, Hugging Face, Milvus, Docker
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00005,Software Engineer,"Role: Software Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Software Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Rust, C++, Spring Boot, ASP.NET, Jira, Git
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00006,Business Analyst,"Role: Business Analyst
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Business Analyst to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, Agile, Waterfall, Excel, PowerPoint
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms."
JD_00007,Data Analyst,"Role: Data Analyst
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Data Analyst to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, R, Excel, Seaborn, Alteryx, Jira
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms."
JD_00008,Cloud Engineer,"Role: Cloud Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Cloud Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Bash, Terraform, Serverless Framework, Docker, AWS
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
JD_00009,AI Engineer,"Role: AI Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented AI Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, JavaScript, Hugging Face, LangChain, Milvus, Weights & Biases
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms."
JD_00010,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Bash, Ruby, Puppet, Ansible, Docker, Linux
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience."
