jd_id,category,jd_text,cleaned_text
JD_00001,Business Analyst,"Role: Business Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Business Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- SQL, Scrum, Agile, Excel, Confluence
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role business analyst company global innovation location san francisco can role business analyst drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification sql scrum agile excel confluence work agile scrum team hand deployment containerization
JD_00002,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Bash, Terraform, Chef, Git, Kubernetes
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role devop engineer company global innovation location san francisco can role devop engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification go bash terraform chef git kubernete work agile scrum team hand deployment containerization
JD_00003,Data Scientist,"Role: Data Scientist
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Scientist, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- R, SAS, PyTorch, Scikit-Learn, Tableau, Anaconda
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum scientist company global innovation location san francisco can role data scientist drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification sas pytorch scikit learn tableau anaconda work agile scrum team hand deployment containerization
JD_00004,AI Engineer,"Role: AI Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a AI Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- JavaScript, SQL, LlamaIndex, Hugging Face, Milvus, Docker
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role ai engineer company global innovation location san francisco can role ai engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification javascript sql llamaindex hug face milvus docker work agile scrum team hand deployment containerization
JD_00005,Software Engineer,"Role: Software Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Software Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Rust, C++, Spring Boot, ASP.NET, Jira, Git
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role software engineer company global innovation location san francisco can role software engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification rust c++ spring boot asp net jira git work agile scrum team hand deployment containerization
JD_00006,Business Analyst,"Role: Business Analyst
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Business Analyst to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, Agile, Waterfall, Excel, PowerPoint
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role business analyst company techcorp solution location remote hybird overview seek talented business analyst join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent sql agile waterfall excel powerpoint strong communication analytical familiarity ci cd practice cloud platform
JD_00007,Data Analyst,"Role: Data Analyst
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Data Analyst to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, R, Excel, Seaborn, Alteryx, Jira
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role datum analyst company techcorp solution location remote hybird overview seek talented datum analyst join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent sql excel seaborn alteryx jira strong communication analytical familiarity ci cd practice cloud platform
JD_00008,Cloud Engineer,"Role: Cloud Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Cloud Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Bash, Terraform, Serverless Framework, Docker, AWS
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role cloud engineer company global innovation location san francisco can role cloud engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification go bash terraform serverless framework docker aws work agile scrum team hand deployment containerization
JD_00009,AI Engineer,"Role: AI Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented AI Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: SQL, JavaScript, Hugging Face, LangChain, Milvus, Weights & Biases
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role ai engineer company techcorp solution location remote hybird overview seek talented ai engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent sql javascript hug face langchain milvus weight bias strong communication analytical familiarity ci cd practice cloud platform
JD_00010,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Bash, Ruby, Puppet, Ansible, Docker, Linux
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role devop engineer company global innovation location san francisco can role devop engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualifications bash ruby puppet ansible docker linux work agile scrum team hand deployment containerization
